Fecha,Conc
2018-01-01,5.043478260869565
2018-01-01,26.73913043478261
2018-01-01,27.73913043478261
2018-01-01,25.52173913043478
2018-01-01,29.08695652173913
2018-01-01,6.478260869565218
2018-01-01,20.695652173913043
2018-01-01,30.782608695652176
2018-01-01,24.782608695652176
2018-01-01,47.391304347826086
2018-01-01,16.652173913043477
2018-01-01,20.782608695652176
2018-01-01,30.82608695652174
2018-01-01,23.304347826086957
2018-01-01,18.17391304347826
2018-01-01,24.956521739130434
2018-01-01,21.91304347826087
2018-01-01,22.91304347826087
2018-01-01,14.73913043478261
2018-01-01,24.565217391304348
2018-01-01,21.82608695652174
2018-01-01,30.565217391304348
2018-01-01,16.91304347826087
2018-01-01,28.608695652173914
2018-01-02,27.782608695652176
2018-01-02,32.04347826086956
2018-01-02,28.391304347826086
2018-01-02,28.130434782608695
2018-01-02,39.73913043478261
2018-01-02,32.04347826086956
2018-01-02,34.95652173913044
2018-01-02,38.95652173913044
2018-01-02,11.347826086956522
2018-01-02,26.391304347826086
2018-01-02,37.47826086956522
2018-01-02,34.30434782608695
2018-01-02,40.78260869565217
2018-01-02,38.391304347826086
2018-01-02,31.08695652173913
2018-01-02,36.69565217391305
2018-01-02,46.130434782608695
2018-01-02,27.347826086956523
2018-01-02,38.608695652173914
2018-01-02,54.65217391304348
2018-01-02,31.956521739130434
2018-01-02,28.304347826086957
2018-01-02,10.130434782608695
2018-01-02,36.78260869565217
2018-01-03,36.78260869565217
2018-01-03,38.78260869565217
2018-01-03,53.56521739130435
2018-01-03,33.56521739130435
2018-01-03,49.608695652173914
2018-01-03,35.17391304347826
2018-01-03,29.869565217391305
2018-01-03,42.52173913043478
2018-01-03,35.21739130434783
2018-01-03,13.956521739130435
2018-01-03,43.69565217391305
2018-01-03,41.04347826086956
2018-01-03,37.869565217391305
2018-01-03,42.95652173913044
2018-01-03,46.869565217391305
2018-01-03,30.782608695652176
2018-01-03,41.08695652173913
2018-01-03,42.47826086956522
2018-01-03,35.82608695652174
2018-01-03,33.0
2018-01-03,14.08695652173913
2018-01-03,33.869565217391305
2018-01-03,53.95652173913044
2018-01-03,51.91304347826087
2018-01-04,49.47826086956522
2018-01-04,40.391304347826086
2018-01-04,29.956521739130434
2018-01-04,34.69565217391305
2018-01-04,26.82608695652174
2018-01-04,26.304347826086957
2018-01-04,25.608695652173914
2018-01-04,26.782608695652176
2018-01-04,6.391304347826087
2018-01-04,37.26086956521739
2018-01-04,41.65217391304348
2018-01-04,26.347826086956523
2018-01-04,38.608695652173914
2018-01-04,28.608695652173914
2018-01-04,26.82608695652174
2018-01-04,35.608695652173914
2018-01-04,24.91304347826087
2018-01-04,25.73913043478261
2018-01-04,34.608695652173914
2018-01-04,39.30434782608695
2018-01-04,36.130434782608695
2018-01-04,33.43478260869565
2018-01-04,44.30434782608695
2018-01-04,12.043478260869565
2018-01-05,27.91304347826087
2018-01-05,36.869565217391305
2018-01-05,39.08695652173913
2018-01-05,22.956521739130434
2018-01-05,12.869565217391305
2018-01-05,25.782608695652176
2018-01-05,30.391304347826086
2018-01-05,26.08695652173913
2018-01-05,50.21739130434783
2018-01-05,29.869565217391305
2018-01-05,36.08695652173913
2018-01-05,15.73913043478261
2018-01-05,36.65217391304348
2018-01-05,26.73913043478261
2018-01-05,28.043478260869566
2018-01-05,24.304347826086957
2018-01-05,28.782608695652176
2018-01-05,35.91304347826087
2018-01-05,24.73913043478261
2018-01-05,31.565217391304348
2018-01-05,17.73913043478261
2018-01-05,35.65217391304348
2018-01-05,29.608695652173914
2018-01-05,31.52173913043478
2018-01-06,35.130434782608695
2018-01-06,22.08695652173913
2018-01-06,11.217391304347826
2018-01-06,27.304347826086957
2018-01-06,24.0
2018-01-06,23.217391304347824
2018-01-06,26.17391304347826
2018-01-06,43.91304347826087
2018-01-06,23.82608695652174
2018-01-06,34.65217391304348
2018-01-06,26.043478260869566
2018-01-06,27.956521739130434
2018-01-06,21.434782608695652
2018-01-06,31.91304347826087
2018-01-06,11.130434782608695
2018-01-06,29.695652173913043
2018-01-06,28.217391304347824
2018-01-06,28.91304347826087
2018-01-06,9.869565217391305
2018-01-06,45.73913043478261
2018-01-06,17.26086956521739
2018-01-06,24.73913043478261
2018-01-06,18.043478260869566
2018-01-06,30.565217391304348
2018-01-07,26.043478260869566
2018-01-07,30.91304347826087
2018-01-07,23.608695652173914
2018-01-07,41.78260869565217
2018-01-07,13.652173913043478
2018-01-07,32.26086956521739
2018-01-07,33.78260869565217
2018-01-07,24.956521739130434
2018-01-07,21.130434782608695
2018-01-07,25.52173913043478
2018-01-07,25.217391304347824
2018-01-07,28.08695652173913
2018-01-07,11.91304347826087
2018-01-07,31.130434782608695
2018-01-07,32.91304347826087
2018-01-07,46.34782608695652
2018-01-07,23.82608695652174
2018-01-07,29.434782608695652
2018-01-07,31.347826086956523
2018-01-07,24.82608695652174
2018-01-07,30.782608695652176
2018-01-07,22.26086956521739
2018-01-07,14.434782608695652
2018-01-07,25.47826086956522
2018-01-08,62.78260869565217
2018-01-08,68.30434782608695
2018-01-08,65.43478260869566
2018-01-08,52.56521739130435
2018-01-08,57.43478260869565
2018-01-08,54.21739130434783
2018-01-08,48.43478260869565
2018-01-08,61.56521739130435
2018-01-08,50.69565217391305
2018-01-08,58.04347826086956
2018-01-08,46.391304347826086
2018-01-08,49.08695652173913
2018-01-08,88.43478260869566
2018-01-08,41.17391304347826
2018-01-08,58.391304347826086
2018-01-08,60.869565217391305
2018-01-08,44.17391304347826
2018-01-08,53.52173913043478
